City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Keetmanshoop,NA,2020-09-28 14:38:30,-26.58,18.13,71.6,12,0,5.82
205,Saskylakh,RU,2020-09-28 14:38:30,71.92,114.08,31.69,98,100,21.39
206,Amahai,ID,2020-09-28 14:38:30,-3.33,128.92,77.22,87,91,3.36
207,Sibu,MY,2020-09-28 14:38:30,2.3,111.82,75.2,94,40,2.08
208,College,US,2020-09-28 14:38:30,64.86,-147.8,37.4,90,40,8.05
209,Umm Lajj,SA,2020-09-28 14:38:30,25.02,37.27,91.62,50,0,9.57
210,Zyryanka,RU,2020-09-28 14:38:30,65.75,150.85,43.75,70,51,7.02
211,Shieli,KZ,2020-09-28 14:38:31,44.17,66.75,56.35,37,0,15.26
212,Severo-Kurilsk,RU,2020-09-28 14:38:31,50.68,156.12,50.72,93,100,21.61
213,Hasaki,JP,2020-09-28 14:38:31,35.73,140.83,66.2,77,20,5.82
214,Usuki,JP,2020-09-28 14:38:31,33.11,131.79,66.2,72,40,6.93
215,Lahad Datu,MY,2020-09-28 14:38:08,5.03,118.33,75.51,88,100,5.28
216,Port Hawkesbury,CA,2020-09-28 14:38:31,45.62,-61.35,75.0,78,1,11.41
217,Katangli,RU,2020-09-28 14:38:31,51.71,143.23,48.38,83,72,12.57
218,Fortuna,US,2020-09-28 14:38:32,40.6,-124.16,64.4,45,90,11.41
219,Lucea,JM,2020-09-28 14:38:32,18.45,-78.17,89.01,70,20,3.36
220,San Quintin,MX,2020-09-28 14:38:32,30.48,-115.95,71.42,67,0,5.77
221,Sechura,PE,2020-09-28 14:38:32,-5.56,-80.82,67.95,68,92,7.2
222,Tonantins,BR,2020-09-28 14:38:32,-2.87,-67.8,86.77,68,82,4.23
223,Henties Bay,NA,2020-09-28 14:38:33,-22.12,14.28,60.01,72,0,15.64
224,Shizunai,JP,2020-09-28 14:38:33,42.33,142.37,55.44,71,0,5.57
225,Esperance,AU,2020-09-28 14:38:33,-33.87,121.9,53.6,100,40,1.12
226,Itagiba,BR,2020-09-28 14:38:35,-14.28,-39.84,93.11,28,0,4.18
227,Jiuquan,CN,2020-09-28 14:38:36,39.74,98.52,58.71,50,33,6.08
228,Polovinnoye,RU,2020-09-28 14:38:36,54.79,65.99,52.66,80,16,5.77
229,Dudinka,RU,2020-09-28 14:38:36,69.41,86.18,33.8,91,75,17.9
230,Talaya,RU,2020-09-28 14:38:36,61.38,152.75,36.57,82,79,7.02
231,Bozdar,PK,2020-09-28 14:38:36,27.18,68.64,98.6,53,0,15.37
232,Tommot,RU,2020-09-28 14:38:36,58.96,126.29,38.41,88,99,6.76
233,Hithadhoo,MV,2020-09-28 14:38:36,-0.6,73.08,83.93,68,90,8.3
234,Salalah,OM,2020-09-28 14:38:37,17.02,54.09,80.6,78,20,10.29
235,Portobelo,PA,2020-09-28 14:38:37,9.55,-79.65,80.6,78,40,2.24
236,Sheregesh,RU,2020-09-28 14:38:37,52.92,87.99,36.45,91,0,2.28
237,Nata,PA,2020-09-28 14:38:37,8.33,-80.52,80.6,83,20,4.7
238,Roald,NO,2020-09-28 14:38:37,62.58,6.13,60.01,67,0,4.7
239,Nanortalik,GL,2020-09-28 14:38:37,60.14,-45.24,36.66,75,0,15.1
240,Guerrero Negro,MX,2020-09-28 14:38:38,27.98,-114.06,74.16,66,0,7.99
241,Phalombe,MW,2020-09-28 14:38:38,-15.81,35.65,92.14,20,4,5.82
242,Puerto Escondido,MX,2020-09-28 14:38:38,15.85,-97.07,77.0,78,75,4.21
243,Ponta Delgada,PT,2020-09-28 14:38:38,37.73,-25.67,73.4,78,75,12.75
