City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Labytnangi,RU,66.66,66.42,42.6,87,2,7.87,clear sky
192,Boldur,RO,45.69,21.78,55.4,100,40,11.41,light rain
193,Labuan,MY,5.28,115.24,77.0,94,20,1.12,few clouds
194,Tura,IN,25.52,90.22,74.43,87,97,1.83,overcast clouds
195,Hamilton,US,39.18,-84.53,73.99,40,75,16.11,broken clouds
196,Tilichiki,RU,60.47,166.1,39.18,96,100,4.21,light rain
197,Wajima,JP,37.4,136.9,65.3,78,100,1.52,light rain
198,Saint-Philippe,RE,-21.36,55.77,68.0,77,41,3.36,scattered clouds
199,Chokurdakh,RU,70.63,147.92,33.98,96,96,14.92,overcast clouds
200,Kailua,US,21.4,-157.74,89.01,62,20,6.93,few clouds
201,Buchanan,LR,5.88,-10.05,75.85,93,100,7.92,moderate rain
202,Gafanha Da Encarnacao,PT,40.62,-8.73,62.01,81,99,3.96,overcast clouds
203,Shenjiamen,CN,29.96,122.3,70.34,76,64,7.58,broken clouds
204,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,23,40,28.86,scattered clouds
205,Villazon,BO,-22.09,-65.59,68.16,20,85,15.12,overcast clouds
206,Onega,RU,63.91,38.14,46.15,93,39,3.74,scattered clouds
207,Omsukchan,RU,62.53,155.8,37.02,88,100,2.62,overcast clouds
208,Buala,SB,-8.14,159.59,82.92,78,94,9.69,moderate rain
209,Saltpond,GH,5.21,-1.06,76.21,90,98,10.2,light rain
210,Castro,BR,-24.79,-50.01,74.17,52,53,3.0,broken clouds
211,Midlothian,US,32.48,-96.99,90.0,21,1,9.17,clear sky
212,East London,ZA,-33.02,27.91,63.01,79,75,10.54,broken clouds
213,Tiznit,MA,29.58,-9.5,68.25,70,0,1.68,clear sky
214,Andrews,US,32.32,-102.55,89.6,9,1,4.7,clear sky
215,Teya,RU,60.38,92.63,32.43,96,100,2.66,overcast clouds
216,Roald,NO,62.58,6.13,55.4,82,72,6.93,broken clouds
217,Dogondoutchi,NE,13.64,4.03,87.04,53,21,11.1,few clouds
218,Segezha,RU,63.74,34.32,47.86,92,96,3.89,overcast clouds
219,Savonlinna,FI,61.87,28.88,51.8,100,10,2.24,clear sky
220,Maskinonge,CA,46.23,-73.02,60.01,67,20,17.22,few clouds
221,Bethel,US,41.37,-73.41,66.2,45,1,13.87,clear sky
222,Rawson,AR,-43.3,-65.1,57.81,34,0,18.75,clear sky
223,Grindavik,IS,63.84,-22.43,35.6,80,40,4.7,scattered clouds
224,Sinnamary,GF,5.38,-52.95,80.4,82,80,11.81,broken clouds
225,Coihaique,CL,-45.58,-72.07,44.6,65,75,8.05,light intensity shower rain
226,Grand Gaube,MU,-20.01,57.66,70.0,80,0,1.01,clear sky
227,Amazar,RU,53.86,120.88,35.29,87,92,2.28,overcast clouds
228,Portland,US,45.52,-122.68,84.99,40,0,1.99,clear sky
229,Avera,US,33.19,-82.53,73.4,46,1,5.82,clear sky
230,Indramayu,ID,-6.33,108.32,80.49,74,0,8.05,clear sky
231,Itoman,JP,26.12,127.67,77.0,69,20,10.29,few clouds
232,Fairbanks,US,64.84,-147.72,59.0,33,75,13.87,broken clouds
233,Worthing,GB,50.81,-0.37,57.99,92,100,4.0,light rain
234,Puerto Gaitan,CO,4.31,-72.08,80.1,74,81,4.16,broken clouds
235,Dalton,US,34.77,-84.97,73.99,38,1,3.36,clear sky
236,Lac Du Bonnet,CA,50.25,-96.06,48.0,99,100,8.01,light rain
237,Athabasca,CA,54.72,-113.29,54.25,45,45,4.99,scattered clouds
238,Dubbo,AU,-32.25,148.62,59.0,87,75,6.93,broken clouds
239,Taoudenni,ML,22.68,-3.98,98.55,9,0,9.75,clear sky
240,Port-Gentil,GA,-0.72,8.78,77.0,83,40,8.05,scattered clouds
241,Oktyabrskiy,RU,54.48,53.47,51.3,88,92,1.34,overcast clouds
242,Nahariyya,IL,33.01,35.09,77.76,72,0,2.59,clear sky
243,Pareora,NZ,-44.49,171.21,51.57,53,20,7.38,few clouds
244,Madimba,TZ,-10.4,40.33,73.6,90,1,5.7,clear sky
245,Port Lincoln,AU,-34.73,135.87,51.46,78,40,8.95,scattered clouds
246,Mount Gambier,AU,-37.83,140.77,42.8,93,75,9.17,broken clouds
247,Yar-Sale,RU,66.83,70.83,43.45,88,97,4.12,overcast clouds
