City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Kavieng,PG,84.63,overcast clouds,-2.57,150.8,Nusa Island Retreat
103,Qiongshan,CN,77.0,overcast clouds,20.01,110.35,Sun City Restaurant
118,Buraydah,SA,80.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
122,Victoria,HK,79.0,overcast clouds,22.29,114.16,Mini Hotel Central
127,San-Pedro,CI,76.42,overcast clouds,4.75,-6.64,Hotel Maria
129,Cabo San Lucas,MX,90.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
136,Vanimo,PG,76.01,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
137,Guerrero Negro,MX,93.54,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
148,San Patricio,MX,91.4,broken clouds,19.22,-104.7,Hotel Cabo Blanco
157,Kutum,SD,76.39,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
159,Ambulu,ID,76.03,few clouds,-8.35,113.61,Hotel Ambulu Jember
166,Katsina,NG,78.69,broken clouds,12.99,7.6,Katsina Motel
167,Honiara,SB,75.2,heavy intensity rain,-9.43,159.95,Heritage Park Hotel
168,Sabha,LY,82.38,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
169,Tecoanapa,MX,83.48,scattered clouds,16.52,-98.75,Hotel Manglares
171,Bac Lieu,VN,78.89,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
172,Ayorou,NE,87.33,clear sky,14.73,0.92,Hotel Amenokal
175,Naze,JP,78.8,few clouds,28.37,129.48,奄美ポートタワーホテル
178,Dingle,PH,78.53,overcast clouds,11.0,122.67,Camp Pasica
182,Nhamunda,BR,86.83,scattered clouds,-2.19,-56.71,Pousada Da Praia
184,Faanui,PF,78.87,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
191,Santa Maria,BR,76.33,few clouds,-29.68,-53.81,Hotel Morotin
194,Luanda,AO,75.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
195,La Romana,DO,84.2,shower rain,18.43,-68.97,Casa de Campo Resort and Villas
201,Banda Aceh,ID,78.93,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
202,Moron,AR,75.2,clear sky,-34.65,-58.62,Hotel Morón
203,Nouadhibou,MR,75.6,clear sky,20.93,-17.03,El Medina
205,Kalmunai,LK,78.15,overcast clouds,7.42,81.82,VS Villa
218,Nuevo Progreso,MX,81.0,clear sky,23.17,-97.95,Balneario Rio el Paraiso
228,Saint George,US,93.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
236,Hithadhoo,MV,82.78,light rain,-0.6,73.08,Scoop Guest House
237,Paramirim,BR,77.27,clear sky,-13.44,-42.24,Pousada Rio Pequeno
238,Alofi,NU,78.42,broken clouds,-19.06,-169.92,Taloa Heights
239,Huejuquilla El Alto,MX,77.32,clear sky,22.6,-103.87,Hotel Huexuquillan
240,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
241,Bengkulu,ID,76.5,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
243,Redmond,US,77.0,clear sky,47.67,-122.12,Seattle Marriott Redmond
244,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
247,Itarema,BR,78.01,clear sky,-2.92,-39.92,Windvillage
248,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
252,Bandarbeyla,SO,79.41,broken clouds,9.49,50.81,REER XOOSHLE GROUP
255,Cururupu,BR,75.33,broken clouds,-1.83,-44.87,Pousada Través'cia
259,Kirakira,SB,79.38,moderate rain,-10.45,161.92,SanBiz Lodge
261,Jablah,SY,77.36,clear sky,35.36,35.93,مدرسة محمد سعيد يونس الثانويه
263,Port-Gentil,GA,77.67,scattered clouds,-0.72,8.78,Fengshui Residence
264,Wewak,PG,81.88,moderate rain,-3.55,143.63,In Wewak Boutique Hotel
266,Bauta,CU,86.0,broken clouds,22.98,-82.55,Piscina La Pérgola
270,San Ignacio,BZ,87.8,scattered clouds,17.16,-89.07,Rainforest Haven Inn
273,Sola,VU,79.14,light rain,-13.88,167.55,Leumerus Bungalows
274,Mandera,KE,79.74,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
275,Gurupi,BR,88.54,broken clouds,-11.73,-49.07,Via Norte Hotel
280,Kokopo,PG,83.46,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
281,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
286,San Quintin,MX,88.39,clear sky,30.48,-115.95,Old Mill Hotel
287,Sur,OM,81.55,clear sky,22.57,59.53,Sur Plaza Hotel
288,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
293,Dakar,SN,84.2,few clouds,14.69,-17.44,Novotel Dakar
301,Lakeland,US,75.99,broken clouds,28.04,-81.95,The Terrace Hotel
303,Igunga,TZ,76.23,overcast clouds,-4.28,33.88,Ally yesu shop
306,Aquiraz,BR,80.6,few clouds,-3.9,-38.39,Hotel Laguna Blu
316,Keti Bandar,PK,80.76,clear sky,24.14,67.45,Haji laloo memon house
317,Villa Carlos Paz,AR,80.6,dust,-31.42,-64.5,Monte Carlo
320,Alta Floresta,BR,85.84,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
324,Nishihara,JP,77.0,few clouds,26.18,127.76,Minshuku Agaihama
329,Dijkot,PK,77.5,clear sky,31.22,72.98,Al-Siddiq Food Point
333,Townsville,AU,75.2,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
334,Suez,EG,75.25,clear sky,29.97,32.53,Green House
336,Bilma,NE,89.73,clear sky,18.69,12.92,Expeditions Ténére voyages
339,Acapulco,MX,86.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
